pid,pid_name
03F05511,DeskJet F300 series
03F05611,PhotoSmart C3180
03F05617,LaserJet M1120 MFP
03F05711,PhotoSmart C4100 series
03F05717,LaserJet M1120n MFP
03F05811,PhotoSmart C5100 series
03F05817,LaserJet M1319f MFP
03F05911,PhotoSmart C6180
03F05A11,PhotoSmart C7100 series
03F05B11,OfficeJet J2100 series
03F05C11,PhotoSmart C4200 Printer series
03F05C12,OfficeJet 6700
03F05C17,LaserJet P2055 series
03F05D11,PhotoSmart C5200 series
03F05E11,PhotoSmart D7400 series
03F06004,DeskJet 5550
03F06102,Hewlett Packard Digital Camera
03F06104,DeskJet 5650c
03F06117,color LaserJet 3550
03F06202,PhotoSmart 215
03F06204,DeskJet 5150c
03F06217,Color LaserJet 4700
03F06302,PhotoSmart 318/612
03F06317,Color LaserJet 4730mfp
03F06402,PhotoSmart 715 (ptp)
03F06411,PhotoSmart C8100 series
03F06417,LaserJet 5200
03F06502,PhotoSmart 120 (ptp)
03F06511,PhotoSmart C7200 series
03F06602,PhotoSmart 320
03F06611,PhotoSmart C4380 series
03F06617,LaserJet 5200L
03F06702,PhotoSmart 720 (ptp)
03F06717,Color LaserJet 3000
03F06802,PhotoSmart 620 (ptp)
03F06811,PhotoSmart D5300 series
03F06817,Color LaserJet 3800
03F06911,PhotoSmart D7200 series
03F06917,Color LaserJet 3600
03F06A02,PhotoSmart 735 (ptp)
03F06A11,PhotoSmart C6200 series
03F06A17,LaserJet 4240
03F06B02,PhotoSmart R707 (PTP mode)
03F06B11,Photosmart C4500 series
03F06C17,Color LaserJet 4610
03F06F17,Color LaserJet CP6015 series
03F07004,DeskJet 3320c
03F07102,PhotoSmart 635 (PTP mode)
03F07104,DeskJet 3420c
03F07117,CM8060 Color MFP with Edgeline Technology
03F07202,PhotoSmart 43x (ptp)
03F07204,DeskJet 36xx
03F07217,LaserJet M5035 MFP
03F07302,PhotoSmart M307 (PTP mode)
03F07304,DeskJet 35xx
03F07311,Photosmart Premium C309
03F07317,LaserJet P3005
03F07404,Printing Support
03F07417,LaserJet M4345 MFP
03F07504,Printing Support
03F07517,LaserJet M3035 MFP
03F07604,DeskJet 3940
03F07611,DeskJet F2492 All-in-One
03F07617,LaserJet P3004
03F07702,PhotoSmart R817 (PTP mode)
03F07704,DeskJet D4100
03F07717,CM8050 Color MFP with Edgeline Technology
03F07804,DeskJet D1360
03F07817,Color LaserJet CP3505
03F07917,LaserJet M5025 MFP
03F07A02,PhotoSmart M415 (PTP mode)
03F07A04,DeskJet D2460
03F07A17,LaserJet M3027 MFP
03F07B02,PhotoSmart M23 (PTP mode)
03F07B17,Color LaserJet CP4005
03F07C17,Color LaserJet CM6040 series
03F07D04,DeskJet F2100 Printer series
03F07D17,Color LaserJet CM4730 MFP
03F07E04,DeskJet F4100 Printer series
03F08017,LaserJet P4515
03F08104,Printing Support
03F08117,LaserJet P4015
03F0811C,Ethernet HN210E
03F08204,Printing Support
03F08207,FHA-3510 2.4GHz Wireless Optical Mobile Mouse
03F08217,LaserJet P4014
03F08317,LaserJet M9050 MFP
03F08404,DeskJet 6800 series
03F08417,LaserJet M9040 MFP
03F08504,DeskJet 6600 series
03F08604,DeskJet 5440
03F08607,Optical Mobile Mouse
03F08704,DeskJet 5940
03F08711,Deskjet 2050 J510
03F08804,DeskJet 6980 series
03F08904,DeskJet 6940 series
03F08C07,Digital Stereo Headset
03F08C11,Deskjet F4500 series
03F09002,PhotoSmart M437
03F09102,PhotoSmart M537
03F09302,PhotoSmart R930 series
03F09402,PhotoSmart R837
03F09502,PhotoSmart R840 series
03F09602,PhotoSmart M730 series
